city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lon
South Creek,South Creek,WA,Washington,53053,Pierce,53053,Pierce,46.9994,-122.3921
Roslyn,Roslyn,WA,Washington,53037,Kittitas,53037,Kittitas,47.2507,-121.0989
Sprague,Sprague,WA,Washington,53043,Lincoln,53043,Lincoln,47.3048,-117.9713
Gig Harbor,Gig Harbor,WA,Washington,53053,Pierce,53053,Pierce,47.3352,-122.5968
Lake Cassidy,Lake Cassidy,WA,Washington,53061,Snohomish,53061,Snohomish,48.0639,-122.092
Tenino,Tenino,WA,Washington,53067,Thurston,53067,Thurston,46.8537,-122.8607
Jamestown,Jamestown,WA,Washington,53009,Clallam,53009,Clallam,48.1229,-123.0911
Three Lakes,Three Lakes,WA,Washington,53061,Snohomish,53061,Snohomish,47.942,-121.9924
Curlew Lake,Curlew Lake,WA,Washington,53019,Ferry,53019,Ferry,48.7311,-118.6663
Chain Lake,Chain Lake,WA,Washington,53061,Snohomish,53061,Snohomish,47.9038,-121.9861
Pateros,Pateros,WA,Washington,53047,Okanogan,53047,Okanogan,48.0536,-119.8994
Rosburg,Rosburg,WA,Washington,53069,Wahkiakum,53069,Wahkiakum,46.3076,-123.6344
Parkland,Parkland,WA,Washington,53053,Pierce,53053,Pierce,47.1417,-122.4376
Birch Bay,Birch Bay,WA,Washington,53073,Whatcom,53073,Whatcom,48.923,-122.7543
Ashford,Ashford,WA,Washington,53053,Pierce,53053,Pierce,46.7537,-122.0113
Navy Yard City,Navy Yard City,WA,Washington,53035,Kitsap,53035,Kitsap,47.5508,-122.6655
Omak,Omak,WA,Washington,53047,Okanogan,53047,Okanogan,48.4228,-119.5159
Farmington,Farmington,WA,Washington,53075,Whitman,53075,Whitman,47.0887,-117.0464
Buckley,Buckley,WA,Washington,53053,Pierce,53053,Pierce,47.1615,-122.02
Cathcart,Cathcart,WA,Washington,53061,Snohomish,53061,Snohomish,47.8525,-122.1058
Poulsbo,Poulsbo,WA,Washington,53035,Kitsap,53035,Kitsap,47.7417,-122.6408
Anacortes,Anacortes,WA,Washington,53057,Skagit,53057,Skagit,48.4878,-122.6292
Maplewood,Maplewood,WA,Washington,53053,Pierce,53053,Pierce,47.3715,-122.5689
Creston,Creston,WA,Washington,53043,Lincoln,53043,Lincoln,47.7595,-118.52
Rockford,Rockford,WA,Washington,53063,Spokane,53063,Spokane,47.4513,-117.1307
Wishram,Wishram,WA,Washington,53039,Klickitat,53039,Klickitat,45.6599,-120.9698
